Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
KMX,59.91999816894531,N/A,0.03739612032860554,0.12080536912751677,0.44629490049652754,0.9351230425055929,0.622529046135628,0.988814317673378,0.04517697985642952,0.4317673378076063,0.6191275167785235
KO,87.70999908447266,N/A,0.2899603171130122,0.6308724832214765,0.12968053427583393,0.5033557046979865,0.09225783434842857,0.43624161073825507,0.07540463106881123,0.6174496644295302,0.5469798657718121
KR,56.689998626708984,N/A,0.16810160966042562,0.4295302013422818,0.19467148041203325,0.6935123042505593,0.13542911178017697,0.5816554809843401,0.029599325699215515,0.3087248322147651,0.5033557046979866
KSS,19.209999084472656,N/A,0.438440705145829,0.8053691275167785,0.014942563585949229,0.04921700223713646,0.6449264308381283,0.9910514541387024,0.11040462032625145,0.774049217002237,0.6549217002237137
L,113.02999877929688,N/A,0.19264199217231154,0.47651006711409394,0.040269515285782806,0.18344519015659955,0.06895380603891552,0.3422818791946309,0.012407149032843394,0.10067114093959731,0.2757270693512304
LB,78.69000244140625,N/A,0.5379836583040564,0.8680089485458613,0.20983496411100486,0.7225950782997762,0.13060648256903443,0.5570469798657718,0.013132538901858302,0.10514541387024608,0.5631991051454138
LDOS,143.8300018310547,N/A,0.18177775462993104,0.4563758389261745,0.17926299790367348,0.6621923937360178,0.16693400013085546,0.6554809843400448,0.35077007228220564,0.9910514541387024,0.6912751677852349
LEG,9.65999984741211,N/A,0.05640210770557367,0.16331096196868006,0.16415124528892283,0.6308724832214765,0.06395766119820237,0.31767337807606266,0.11963099964539253,0.7964205816554809,0.47706935123042504
LEN,86.83000183105469,N/A,0.3286973404670094,0.6733780760626398,0.2818869725787151,0.8299776286353467,0.06133373520031132,0.29977628635346754,0.035045922789326306,0.35570469798657717,0.5397091722595078
LH,318.1300048828125,N/A,0.18902701295128374,0.47203579418344516,0.1315313758517841,0.5100671140939597,0.2739782830028953,0.8657718120805369,0.12270617352027002,0.8008948545861297,0.6621923937360179
LHX,291.82000732421875,N/A,0.09610354477986188,0.2639821029082774,0.14899300237146354,0.5794183445190156,0.03423880071533542,0.17225950782997765,0.0347859906346825,0.348993288590604,0.34116331096196867
LIN,482.739990234375,N/A,0.01907627701948601,0.06487695749440715,0.010172853836159183,0.035794183445190156,0.04315949966894375,0.21700223713646533,0.059389700730062424,0.5212527964205816,0.20973154362416108
LKQ,25.420000076293945,N/A,0.15285792042570548,0.407158836689038,0.23841386158212688,0.7606263982102908,0.04503677357054727,0.22371364653243847,0.0015760802541388075,0.017897091722595078,0.3523489932885906
LLY,1180.1600341796875,N/A,0.6936000491199618,0.9284116331096196,0.1383515982643792,0.5324384787472036,0.17606498222832376,0.6733780760626398,0.0023248274548603085,0.02460850111856823,0.5397091722595078
LMT,608.6799926757812,N/A,0.42859713207988276,0.8008948545861297,0.056217565387837426,0.232662192393736,0.18731166634640273,0.7114093959731543,0.19637558389754894,0.9395973154362416,0.6711409395973155
LNC,45.459999084472656,N/A,0.1734104325131256,0.4429530201342282,0.13954746150163927,0.5391498881431768,0.33790706329510417,0.9149888143176733,0.07623099616606684,0.6196868008948545,0.6291946308724832
LNT,70.5999984741211,N/A,0.12651628851175148,0.3310961968680089,0.006734056551583833,0.017897091722595078,0.0033407164275943545,0.015659955257270694,0.049226655937307226,0.465324384787472,0.20749440715883666
LOW,218.47000122070312,N/A,0.1154560140205935,0.3020134228187919,0.23144389231491666,0.7539149888143176,0.006410523608453015,0.03355704697986577,0.053131712793855056,0.48769574944071586,0.3942953020134228
LRCX,332.3599853515625,N/A,2.358450387000049,0.9910514541387024,0.41380126621658875,0.9172259507829977,0.1681444595156695,0.6577181208053691,0.06083625375430514,0.5302013422818792,0.774049217002237
LUV,44.2599983215332,N/A,0.4314776732530101,0.8031319910514542,0.12648609442568676,0.49217002237136465,0.15463040658937346,0.6263982102908278,0.07945098510903464,0.6331096196868009,0.6387024608501118
LVS,46.22999954223633,N/A,0.11980342553441677,0.3042505592841163,0.18117389751799873,0.6666666666666665,0.09059401074125463,0.42281879194630867,0.025687993883915766,0.25279642058165547,0.41163310961968674
LW,53.06999969482422,N/A,0.010374582045216645,0.026845637583892613,0.08262968538329747,0.3624161073825503,0.21335208833409997,0.7785234899328859,0.14255812788421976,0.8590604026845636,0.5067114093959731
LYB,63.7599983215332,N/A,0.2867444611860377,0.6241610738255033,0.1319080514974351,0.5123042505592841,0.14166014133337826,0.5861297539149888,0.07757309945290651,0.6241610738255033,0.5866890380313199
LYV,188.4600067138672,N/A,0.17106826130011374,0.43847874720357943,0.19074999448053548,0.6868008948545861,0.11600646747863752,0.5123042505592841,0.045721925631734356,0.4407158836689038,0.5195749440715883
MA,569.2899780273438,N/A,0.015235311563082237,0.0447427293064877,0.10198365983573825,0.42281879194630867,0.1538734985088309,0.6196868008948545,0.04725902059453814,0.4519015659955257,0.38478747203579416
MAA,133.49000549316406,N/A,0.007617220976885052,0.02237136465324385,0.008416572684275416,0.026845637583892613,0.07418281033886716,0.3624161073825503,0.003986151869241733,0.040268456375838924,0.11297539149888143
MAR,356.7200012207031,N/A,0.3569979247418233,0.7091722595078299,0.011937905507741467,0.03803131991051454,0.012045496242081193,0.06263982102908278,0.025993854487543988,0.25727069351230425,0.26677852348993286
MAS,74.33000183105469,N/A,0.025325673002110412,0.087248322147651,0.015544813174865254,0.05592841163310962,0.14654464890315114,0.5973154362416107,0.05492688634472272,0.49664429530201337,0.30928411633109615
MCD,272.8299865722656,N/A,0.09542664001542009,0.261744966442953,0.15680206077696204,0.5995525727069351,0.006185707053718105,0.03131991051454139,0.019125155132832007,0.1610738255033557,0.2634228187919463
MCHP,79.16999816894531,N/A,0.2375210010675841,0.5369127516778524,0.018786388927369068,0.06711409395973154,0.1521858911951591,0.6085011185682326,0.02210969535288259,0.203579418344519,0.3540268456375839
MCK,869.0,N/A,0.2963925499997724,0.639821029082774,0.06853816117996583,0.3042505592841163,0.14382744177586737,0.5928411633109619,0.032814729044649917,0.32885906040268453,0.4664429530201342
MCO,484.9599914550781,N/A,0.05284751859536593,0.15883668903803133,0.14482069061108613,0.5637583892617449,0.13309596873541174,0.5615212527964206,0.048692695209732864,0.46308724832214765,0.4368008948545861
